demuc_id,chude_id,chude_ten, demuc_ten, score
bcc2a59a-ccbe-4739-afd4-f45811a15122,0672ce80-caa2-4d12-a474-6d86349c9dab,Hình sự,Hình sự,35.0
bfffac09-7a35-4529-8a83-5849b3267f3f,607817d9-0840-4986-b41f-5f3e9ae650c2,"Y tế, dược","Phòng, chống nhiễm vi rút gây ra hội chứng suy giảm miễn dịch mắc phải ở người",35.0
c2d76287-6995-4aed-8dfa-c3029a2e24e2,e967223c-d26a-4c7f-a8d9-420843bd5bf9,Bổ trợ tư pháp,Công chứng,44.73214285714285
c57132ec-b2a3-4e38-9433-afd6cc770a8c,efbefb52-bf45-41df-aaf4-6a4e833f333e,"Dân số, gia đình, trẻ em, bình đẳng giới",Dân số,77.5
c78e4b28-0d12-4211-98a5-47fbbd144f7b,487180ab-07c0-45c1-9e73-1ab76b2a55c9,"Văn hóa, thể thao, du lịch","Tổ chức lễ tang cán bộ, công chức, viên chức",23.0
c8606224-625f-4a7c-9054-b81d95af4068,717625a2-281b-4307-b21b-68b1c73d2207,"Thương mại, đầu tư, chứng khoán",Quản lý thị trường,72.61904761904762
c8ba5bc7-224a-4f31-8d92-567613f68ca9,5576c952-dabe-4363-b94a-13419996ff4b,Bảo hiểm,Bảo hiểm xã hội,56.2962962962963
c9269682-f64e-4a54-a352-98e10cadaf26,b82ee309-2527-4a7d-8d4d-fccdfabbc86c,"Giao thông, vận tải",Hàng hải Việt Nam,69.03846153846153
c9f81fd6-ecf4-4c63-a44c-6d59a4daac9c,7a9dcc15-370d-40b4-a02b-28e583b25dbf,Tài chính,Ngân sách nhà nước,63.38095238095238
caa9cca3-02cc-4751-b79c-6e668f6b5e37,6db952fa-b9dd-41f7-adf5-ccb22100ac9c,"Ngoại giao, điều ước quốc tế","Quyền ưu đãi, miễn trừ dành cho cơ quan đại diện ngoại giao, cơ quan lãnh sự và cơ quan đại diện của tổ chức quốc tế tại Việt Nam",100.0
ccc43f43-94e8-47f7-a669-677d5a9e3c08,09ca05d1-7f1d-4887-a65d-a210374d1969,"Thuế, phí, lệ phí, các khoản thu khác",Thuế giá trị gia tăng,50.0
cd978e77-1991-4698-a663-ad2013c7a9f1,0fb2411e-095b-4095-bbbe-fb8465ec4199,"Giáo dục, đào tạo",Giáo dục,81.30456852791878
cf43428f-7076-42b8-b0ef-678f73203eef,965fd0b7-e8b0-434a-83c2-9f9b2b4fbcba,"Trật tự, an toàn xã hội",Một số biện pháp bảo đảm trật tự công cộng,65.0
cff88bae-70b7-4ad7-84ca-cdeecfaf89aa,0fb2411e-095b-4095-bbbe-fb8465ec4199,"Giáo dục, đào tạo",Giáo dục đại học,70.73333333333333
d0a39796-1eb4-4862-972b-87d5ad87ae2c,a5b5fa2d-056c-48c4-b6fc-c782359511ff,Hành chính tư pháp,Hộ tịch,62.5
d1ac30ec-b37c-448d-90c2-cf94b0794564,11a7e159-46bf-48bf-93ec-4e415f84c678,"Xây dựng, nhà ở, đô thị",Kinh doanh bất động sản,22.5
d23549c3-e7ec-4158-9864-35fc6aefc1cc,ff58c8ec-ab1b-4fdd-b732-5f09f9fa09cd,"Khiếu nại, tố cáo",Tiếp công dân,60.625
d5ad4f7a-8411-47ad-a46a-1c6d6dfd46b2,717625a2-281b-4307-b21b-68b1c73d2207,"Thương mại, đầu tư, chứng khoán",Đầu tư công,72.1
